미세먼지(PM10) 월별 도시별 대기오염도 (단위 : μg/m³ )
시도별,도시별,2019년01월,2019년02월,2019년03월,2019년04월,2019년05월,2019년06월,2019년07월,2019년08월,2019년09월,2019년10월,2019년11월,2019년12월,
총계,,60,56,62,42,50,33,27,28,25,32,41,39,
서울,서울,66,57,69,41,52,29,26,25,21,31,40,42,
부산,부산,48,48,51,40,47,32,26,30,24,27,35,35,
대구,대구,57,54,54,40,46,32,26,26,23,27,41,42,
인천,인천,62,55,67,43,51,29,31,30,28,35,41,40,
광주,광주,53,57,63,43,50,40,29,31,27,35,43,33,
대전,대전,66,62,68,40,46,30,23,25,22,29,43,40,
울산,울산,45,46,49,40,49,34,29,30,25,27,34,33,
세종,세종,70,64,71,40,50,34,23,27,23,32,45,46,
경기$경기,수원,66,58,69,41,53,30,30,30,24,32,42,43,
$경기,안양,74,61,74,48,61,35,32,31,25,36,48,49,
$경기,성남,67,57,67,40,51,30,29,30,24,33,42,43,
$경기,의정부,73,55,65,39,51,31,30,26,22,34,45,45,
$경기,광명,73,62,76,47,60,34,32,31,29,41,49*,42*,
$경기,안산,69,61,71,42,52,28,29,30,27,36,44,45,
$경기,평택,80,70,85,56,67,39,35,34,33,43,51,47,
$경기,과천,66,59,67,43,56,33,32,31,26,33,44,43,
$경기,구리,77,62,67,41,52,29*,30,29,23,34,46,48,
$경기,의왕,71,61,72,41,51,29,27,28,25,33,44,46,
$경기,고양,68,55,70,44,56,31,30,26,26,37,47,44,
$경기,광주,79,69,80,46,56,32,27,28,22,32,47,57,
$경기,군포,72,63,78,56,67,42,43,31*,24,36,43,43,
$경기,시흥,79,68,85,55,68,36,33,33,34,46,53,52,
$경기,부천,79,66,82,57,64,41,39,36,36,51,57,52,
$경기,남양주,69,58,67,41,53,32,30,28,21,32,44,44,
$경기,용인,66,58*,65,43,56,32,27,28,24,34,47,50,
$경기,김포,75,58,75,47,59,27,27,25,28,42,49,48,
$경기,오산,76,65,77,50,54,26,27,28,24,31,44,41,
$경기,하남,88,75,78,39,49,25,24,25,18,27,43,43,
$경기,화성,71,61,75,48,59,34,33,31,28,39,47,46,
$경기,양주,84,61,70,40,53,27,25,24,23,37,47,42,
$경기,동두천,74,57,68,42,51,28,24,25,21,33,47,48,
$경기,안성,75,68,78,47,58,30,23,26,22,37,53,48,
$경기,이천,77,67,73,46,57,34,24,24,21,35,46,47,
$경기,파주,76,60,71,45,61,31,30,30,30,45,53,50,
